start	end	text
0	2880	Culture eats strategy for breakfast.
2880	3720	Yeah.
3720	5360	You have heard it, I have heard it.
5360	8440	It's probably plastered on a poster
8440	10000	in your break room right now,
10000	11440	maybe peeling a little at the corners.
11440	14600	And honestly, I kind of hate that phrase.
14600	15440	You hate it.
15440	18720	That's a pretty strong reaction to a business classic.
18720	19560	I do.
19560	21200	It just feels like one of those things consultants say
21200	23880	when they don't really have a real answer.
23880	24720	Right.
25560	28160	It is catchy, sure, but what does it actually mean?
28160	30640	It feels like a cliche that just gets thrown around
30640	33680	in boardrooms to sort of shut down the conversation.
33680	37960	It is basically the live laugh love of the corporate world.
37960	40080	Okay, that is a fair critique.
40080	42200	It has absolutely become a bumper sticker,
42200	44040	but here's the thing about cliches,
44040	45800	and I really hate to be the one to defend them,
45800	47080	but usually they become cliches
47080	49440	because there is a massive fundamental truth
49440	51040	buried in there somewhere.
51040	52720	We just stop hearing it
52720	54960	because we have heard it way too often.
54960	55960	Okay, so you were saying
55960	58040	there is actually some meat on the bone here.
58080	60080	There is a lot of meat,
60080	62320	and that is exactly what we are doing today
62320	63480	in this deep dive.
63480	65040	We are dusting off that phrase
65040	66640	and looking at what it actually means,
66640	69480	not as a slogan, but as a literal survival mechanism.
69480	72360	Right, and before we really get into the how of all this,
72360	74880	I need to wrap my head around our source material for today.
74880	75720	Sure.
75720	77840	Because we are looking at insights from Jim Morgan
77840	81840	who led applied materials.
81840	83360	That's a massive high tech company.
83360	85080	Right, a global tech giant.
85080	88000	Exactly, but this analysis is being presented
88000	91920	in a co-branded deep dive with Kalan Profits,
91920	95120	the California Association of Non-profits.
95120	97080	That just seems like a really odd couple to me.
97080	98680	It does sound like a total mismatch, doesn't it?
98680	99520	Yeah.
99520	100560	I have this Titan of Silicon Valley,
100560	103280	a guy who ran a hardware empire for nearly three decades,
103280	105200	and then you have the nonprofit sector.
105200	106720	But the reason they are paired up
106720	108560	is really the core of our discussion today.
108560	109560	Which is what exactly?
109560	111840	That human behavior doesn't change
111840	113560	just because your tax status does.
113560	115800	Oh, wow, okay.
115840	118800	Morgan's entire argument is that organizations,
118800	121600	whether they are manufacturing microchips
121600	123520	or feeding the unhoused,
123520	126160	they all fall into the exact same traps
126160	127560	when things get tough.
127560	129280	Okay, let's talk about those traps then.
129280	131640	Because usually when an organization is struggling,
131640	134920	right, sales are down, or maybe donors are ghosting you,
134920	138080	morale is just in the toilet.
138080	141040	Leadership loves to pivot to strategy.
141040	143760	Oh, we are completely addicted to strategy.
143760	146680	It feels safe, it feels intellectual and rigorous.
146680	148080	You hire a consultant,
148080	150200	you draft this massive five-year plan,
150200	152320	maybe you reorganize the whole org chart,
152320	155520	it feels like you are doing something productive.
155520	158680	But Morgan is saying that is the wrong move.
158680	160480	He says it is effectively useless
160480	161640	if your culture is broken.
161640	162480	Useless.
162480	163320	Completely.
163320	165200	He argues that if the underlying system
165200	167800	of how people actually interact with each other is flawed,
167800	170200	no amount of brilliant strategy is gonna save you.
170200	171520	You can have the best map in the world,
171520	173840	but if your car has no engine, you aren't going anywhere.
173840	175520	So the mission for today's deep dive
175520	179520	is to explain why culture isn't just a vibe.
179520	181120	I feel like we use that word way too much,
181120	182840	like, oh, the culture's a bad vibe.
182840	184680	Yeah, way too much.
184680	187800	We want to look at it as a system of deliberate actions.
187800	191560	And specifically, we are going to see how this applies
191560	193400	to the nonprofit sector in California,
193400	196120	where the stakes for you and your communities
196120	198160	are honestly terrifyingly high.
198160	199840	They are incredibly high.
199840	202560	And I think we need to start by dismantling the thing
202560	206560	most companies do instead of actually fixing their culture.
206560	207400	The ritual.
207400	209360	Yes, the offsite ritual.
209360	211080	Oh, man, I know this ritual.
211080	213680	I have lived this ritual so many times.
213680	214520	Walk me through it.
214520	215360	What does it look like?
215360	216560	Okay, so the numbers are bad.
216560	217400	Yeah.
217400	218400	Everyone is completely stressed out.
